postcode,data status,lines < 2mbps,average speed,median speed,maximum speed,super fast available,connections
BA18DR,OK,Y,2.5,3.1,3.2,Y,3
BA26PA,OK,Y,22.2,12.9,>=30,Y,35
BA29AR,OK,Y,3.6,3.8,4.7,N,5
BA27BY,OK,Y,5.7,5.3,13.1,N,6
BA17NT,OK,Y,14.1,16.8,19,N,10
BA29BA,OK,Y,2.8,2.1,5.7,N,9
BA32BY,OK,N,15.8,11,>=30,Y,12
BA32NW,OK,N,>=30,16,>=30,Y,6
BS394NU,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA24LA,OK,N,14.4,8.4,>=30,Y,6
BS311EP,OK,N,20.7,16,>=30,Y,10
BA20HN,No Data,N/A,N/A,N/A,N/A,N,0
BS311JX,OK,N,24.6,20,>=30,Y,18
BA20DU,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA22EX,OK,Y,20.8,3,>=30,Y,8
BA16NE,OK,Y,5,4.3,18,Y,20
BS395RA,OK,Y,6.6,6.2,15,N,16
BS396TE,OK,N,5.1,5.4,6.6,N,4
BS312EL,OK,N,22.9,22.9,>=30,Y,5
BS312SD,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS408QR,No Data,N/A,N/A,N/A,N/A,N,0
BA13HN,OK,N,10,3.5,>=30,Y,4
BA34BW,OK,N,16.1,12.9,>=30,Y,56
BS394BT,OK,N,7.3,7.4,7.7,N,3
BA18AB,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA23PY,OK,N,23.3,11,>=30,Y,19
BA24EE,OK,N,28.7,15.6,>=30,Y,6
BS395AW,OK,Y,4.2,4.5,7.4,N,11
BA24LY,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA12UU,OK,Y,19.3,7.1,>=30,Y,15
BA28QZ,OK,Y,2,2.2,2.7,N,4
BA24PQ,OK,N,>=30,>=30,>=30,Y,17
BA10SY,No Data,N/A,N/A,N/A,N/A,N,0
BA13AN,No Data,N/A,N/A,N/A,N/A,Y,0
BA26UW,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA32EY,OK,N,15,17.2,23.1,N,6
BS395SP,OK,N,6.4,6.8,8.1,N,14
BS312TW,No Data,N/A,N/A,N/A,N/A,N,0
BS395PS,OK,Y,3.5,3.5,6.3,N,19
BS312NF,OK,N,>=30,21,>=30,Y,3
BA14JJ,OK,Y,18.2,4,>=30,Y,32
BA20JE,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA23WY,No premises,N/A,N/A,N/A,N/A,N,0
BA13AP,No Data,N/A,N/A,N/A,N/A,Y,0
BA32RA,OK,N,13.1,11.3,>=30,Y,17
BA12AR,OK,N,12.6,12.6,17.4,N,3
BA14HP,OK,Y,3.2,4.3,4.4,Y,3
BA13JF,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA17JR,No Data,N/A,N/A,N/A,N/A,N,0
BS395DQ,OK,N,9.1,7.6,19.2,N,10
BS311RY,OK,N,18,20,>=30,Y,13
BA33PS,OK,N,17.9,19.7,24.4,N,5
BA25LG,OK,N,13.3,14.2,16.6,N,4
BA21DQ,OK,N,11.3,5.8,>=30,Y,4
BA26SF,OK,N,>=30,>=30,>=30,Y,5
BA12RH,OK,N,>=30,>=30,>=30,Y,3
BA32UT,OK,N,8.1,6.2,27.9,Y,12
BA22TU,OK,Y,11.2,8.1,>=30,N,20
BA26BX,OK,Y,26.6,10.6,>=30,Y,20
BS396JE,OK,Y,2.8,3.3,4.6,N,3
BA23JG,OK,N,>=30,20,>=30,Y,5
BA23EB,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA16BQ,OK,N,29.3,4.3,>=30,Y,8
BS406AS,OK,N,5.4,6.4,6.7,N,4
BA15TA,No Data,N/A,N/A,N/A,N/A,Y,0
BS312PR,OK,N,23.6,20,>=30,Y,15
BA12UG,OK,N,21.7,10.8,>=30,Y,17
BS319DR,No premises,N/A,N/A,N/A,N/A,N,0
BS312DB,OK,N,>=30,20.2,>=30,Y,24
BS311NF,OK,N,26.7,19.4,>=30,Y,10
BA12BJ,OK,N,>=30,23.5,>=30,Y,8
BA13EB,OK,N,>=30,24.4,>=30,Y,9
BA24BY,No premises,N/A,N/A,N/A,N/A,Y,0
BS312QN,OK,N,19.2,20,>=30,Y,10
BA27AB,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS311PY,OK,Y,18.9,15.6,>=30,Y,17
BA28NE,OK,Y,6.6,9.1,10,Y,4
BS396HW,OK,Y,3.9,4,7.3,N,20
BA20NL,OK,Y,10.1,9.8,17,N,13
BA11QF,OK,N,14,16.8,17.1,Y,3
BA17JT,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA39AJ,No premises,N/A,N/A,N/A,N/A,N,0
BA33AA,OK,N,17.6,21.2,23.4,N,3
BS395DZ,OK,Y,10.4,8.1,22.2,N,20
BA16ND,No Data,N/A,N/A,N/A,N/A,Y,0
BS395TD,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA12AH,OK,Y,21.6,19.9,>=30,Y,19
BA13RB,OK,Y,19.4,6.1,>=30,Y,11
BA26LT,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BA17BH,OK,Y,12.8,5.2,>=30,Y,8
BA17QZ,OK,Y,17.1,19.4,22.7,N,23
BA33JX,OK,N,16,17.6,21.3,N,5
BS408RJ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA32QB,OK,N,24.8,18.8,>=30,Y,24
BA33NQ,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA16JD,No Data,N/A,N/A,N/A,N/A,Y,0
BA28QU,OK,Y,3.1,2.9,4.8,N,6
BA17HJ,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BS408QT,No Data,N/A,N/A,N/A,N/A,N,0
